"Footprint pattern","Correction"
"^R_Array_Convex_",90
"^R_Array_Concave_",90
"^SOT-223",180
"^SOT-23",180
"^TSOT-23",180
"^SOT-353",180
"^QFN-",270
"^LQFP-",270
"^TQFP-",270
"^SOP-4_",0
"^SOP-(?!18_)",270
"^TSSOP-",270
"^DFN-",270
"^SOIC-",270
"^SOP-18_",0
"^VSSOP-10_",270
"^VSSOP-8_",270
"^CP_EIA-3216-18_",180
"^CP_EIA-3528-15_AVX-H",180
"^CP_EIA-3528-21_Kemet-B",180
"^CP_Elec_8x10.5",180
"^CP_Elec_6.3x7.7",180
"^CP_Elec_8x6.7",180
"^CP_Elec_8x10",180
"^(.*?_|V)?QFN-(16|20|24|28|40)(-|_|$)",270
"^Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering",90
"^PowerPAK_SO-8_Single",270
"^HTSSOP-28-1EP_4.4x9.7mm*",270